state,electoral_votes,winner_2020,winner_2024,share_trump,share_harris
Alabama,9,Trump,Trump,64.57,34.1
Alaska,3,Trump,Trump,54.54,41.41
Arizona,11,Biden,Trump,52.22,46.69
Arkansas,6,Trump,Trump,64.2,33.56
California,54,Biden,Harris,38.33,58.47
Colorado,10,Biden,Harris,43.14,54.13
Connecticut,7,Biden,Harris,41.89,56.4
Delaware,3,Biden,Harris,41.89,56.63
District of Columbia,3,Biden,Harris,6.47,90.28
Florida,30,Trump,Trump,56.09,42.99
Georgia,16,Biden,Trump,50.73,48.53
Hawaii,4,Biden,Harris,37.48,60.59
Idaho,4,Trump,Trump,66.89,30.39
Illinois,19,Biden,Harris,43.47,54.37
Indiana,11,Trump,Trump,58.58,39.62
Iowa,6,Trump,Trump,55.73,42.52
Kansas,6,Trump,Trump,57.16,41.04
Kentucky,8,Trump,Trump,64.47,33.94
Louisiana,8,Trump,Trump,60.22,38.21
Maine,4,Biden,Harris,45.5,52.44
Maryland,10,Biden,Harris,34.08,62.62
Massachusetts,11,Biden,Harris,36.02,61.22
Michigan,15,Biden,Trump,49.73,48.31
Minnesota,10,Biden,Harris,46.68,50.92
Mississippi,6,Trump,Trump,60.89,38
Missouri,10,Trump,Trump,58.49,40.08
Montana,4,Trump,Trump,58.39,38.46
Nebraska,5,Trump,Trump,59.63,39.06
Nevada,6,Biden,Trump,50.59,47.49
New Hampshire,4,Biden,Harris,47.87,50.65
New Jersey,14,Biden,Harris,46.06,51.97
New Mexico,5,Biden,Harris,45.85,51.85
New York,28,Biden,Harris,43.31,55.91
North Carolina,16,Trump,Trump,50.86,47.65
North Dakota,3,Trump,Trump,66.96,30.51
Ohio,17,Trump,Trump,55.14,43.93
Oklahoma,7,Trump,Trump,66.16,31.9
Oregon,8,Biden,Harris,40.97,55.27
Pennsylvania,19,Biden,Trump,50.37,48.66
Rhode Island,4,Biden,Harris,41.76,55.54
South Carolina,9,Trump,Trump,58.23,40.36
South Dakota,3,Trump,Trump,63.43,34.24
Tennessee,11,Trump,Trump,64.19,34.47
Texas,40,Trump,Trump,56.14,42.46
Utah,6,Trump,Trump,59.38,37.79
Vermont,3,Biden,Harris,32.32,63.83
Virginia,13,Biden,Harris,46.05,51.83
Washington,12,Biden,Harris,39.01,57.23
West Virginia,4,Trump,Trump,69.98,28.11
Wisconsin,10,Biden,Trump,49.7,48.84
Wyoming,3,Trump,Trump,71.6,25.84
